vehicle_id,semantic_id,observed_event_time,depart,entry,exit,entry_edge,exit_edge,depart_lane,arrival_lane,entry_time,exit_time,entry_phase,exit_phase,entry_in_ew_green,exit_in_ew_green
lv_0714,714,641.88,,东进,北出,E2J,J2N,,,643.51,653.30,,,,
lv_0715,715,645.00,,南进,北出,S2J,J2N,,,624.40,642.24,,,,
lv_0716,716,648.16,,南进,东出,S2J,J2E,,,649.19,655.16,,,,
lv_0718,718,649.70,,,南出,,J2S,,,,656.95,,,,
lv_0719,719,650.46,,东进,西出,E2J,J2W,,,629.77,647.27,,,,
lv_0720,720,650.48,,北进,,N2J,,,,653.77,,,,,
lv_0724,724,656.32,,南进,,S2J,,,,638.26,,,,,
lv_0725,725,657.92,,,,,,,,,,,,,
lv_0726,726,658.98,,北进,北出,N2J,J2N,,,663.26,737.24,,,,
lv_0727,727,663.10,,南进,北出,S2J,J2N,,,694.36,702.08,,,,
lv_0728,728,663.82,,东进,北出,E2J,J2N,,,664.44,669.43,,,,
lv_0729,729,666.32,,南进,东出,S2J,J2E,,,701.15,711.81,,,,
lv_0730,730,666.94,,,,,,,,,,,,,
lv_0731,731,668.36,,西进,东出,W2J,J2E,,,676.25,760.06,,,,
lv_0735,735,672.14,,南进,北出,S2J,J2N,,,700.89,709.17,,,,
lv_0736,736,672.38,,东进,南出,E2J,J2S,,,673.41,681.44,,,,
lv_0737,737,673.52,,东进,北出,E2J,J2N,,,675.25,684.30,,,,
lv_0738,738,673.76,,,南出,,J2S,,,,677.56,,,,
lv_0740,740,674.44,,北进,南出,N2J,J2S,,,669.86,676.91,,,,
lv_0741,741,677.88,,,,,,,,,,,,,
lv_0742,742,682.18,,西进,东出,W2J,J2E,,,753.73,763.02,,,,
lv_0743,743,683.54,,,,,,,,,,,,,
lv_0745,745,685.34,,南进,北出,S2J,J2N,,,672.34,684.28,,,,
lv_0746,746,687.06,,北进,南出,N2J,J2S,,,694.41,712.90,,,,
lv_0747,747,689.90,,,,,,,,,,,,,
lv_0748,748,691.78,,北进,东出,N2J,J2E,,,731.00,742.20,,,,
lv_0749,749,692.04,,,,,,,,,,,,,
lv_0751,751,693.10,,北进,南出,N2J,J2S,,,696.90,705.73,,,,
lv_0752,752,695.48,,,,,,,,,,,,,
lv_0753,753,697.16,,,,,,,,,,,,,
lv_0754,754,697.38,,北进,东出,N2J,J2E,,,690.25,698.12,,,,
lv_0756,756,701.44,,,,,,,,,,,,,
lv_0757,757,702.12,,北进,东出,N2J,J2E,,,734.49,744.22,,,,
lv_0759,759,702.74,,,南出,,J2S,,,,713.84,,,,
lv_0760,760,702.76,,南进,北出,S2J,J2N,,,692.76,701.95,,,,
lv_0761,761,702.90,,南进,北出,S2J,J2N,,,704.57,714.25,,,,
lv_0762,762,703.30,,北进,南出,N2J,J2S,,,706.24,712.49,,,,
lv_0763,763,705.92,,,南出,,J2S,,,,711.51,,,,
lv_0764,764,708.42,,北进,南出,N2J,J2S,,,714.91,733.00,,,,
lv_0766,766,711.04,,西进,东出,W2J,J2E,,,755.23,764.93,,,,
lv_0768,768,711.26,,北进,南出,N2J,J2S,,,702.75,710.37,,,,
lv_0772,772,713.20,,南进,东出,S2J,J2E,,,710.20,716.74,,,,
lv_0773,773,713.30,,,,,,,,,,,,,
lv_0775,775,714.70,,东进,北出,E2J,J2N,,,717.15,726.36,,,,
lv_0777,777,722.18,,北进,南出,N2J,J2S,,,730.29,749.31,,,,
lv_0779,779,723.80,,,,,,,,,,,,,
lv_0780,780,724.90,,北进,东出,N2J,J2E,,,732.13,745.50,,,,
lv_0781,781,726.50,,,,,,,,,,,,,
lv_0782,782,732.48,,西进,,W2J,,,,740.30,,,,,
lv_0783,783,733.48,,北进,东出,N2J,J2E,,,737.21,747.26,,,,
lv_0785,785,736.02,,西进,,W2J,,,,741.10,,,,,
lv_0786,786,736.72,,东进,西出,E2J,J2W,,,717.96,737.05,,,,
lv_0790,790,739.24,,东进,西出,E2J,J2W,,,715.34,736.88,,,,
lv_0791,791,740.28,,,,,,,,,,,,,
lv_0793,793,740.34,,北进,西出,N2J,J2W,,,744.86,754.82,,,,
lv_0795,795,740.92,,东进,西出,E2J,J2W,,,712.07,736.47,,,,
lv_0798,798,747.78,,,,,,,,,,,,,
lv_0799,799,749.10,,,,,,,,,,,,,
lv_0802,802,753.40,,,,,,,,,,,,,
lv_0803,803,754.02,,东进,西出,E2J,J2W,,,754.72,761.71,,,,
lv_0804,804,754.22,,东进,西出,E2J,J2W,,,754.67,760.07,,,,
lv_0805,805,755.34,,南进,,S2J,,,,764.82,,,,,
lv_0806,806,755.92,,西进,南出,W2J,J2S,,,758.20,767.08,,,,
lv_0810,810,760.70,,东进,西出,E2J,J2W,,,761.79,772.35,,,,
lv_0814,814,762.44,,,,,,,,,,,,,
lv_0819,819,764.32,,北进,,N2J,,,,757.52,,,,,
lv_0820,820,764.46,,东进,北出,E2J,J2N,,,757.36,767.32,,,,
lv_0822,822,766.48,,,,,,,,,,,,,
lv_0823,823,769.88,,东进,西出,E2J,J2W,,,770.18,775.31,,,,
lv_0824,824,770.58,,,,,,,,,,,,,
lv_0825,825,773.22,,东进,北出,E2J,J2N,,,773.94,779.90,,,,
lv_0829,829,778.86,,南进,,S2J,,,,788.70,,,,,
lv_0830,830,780.56,,南进,北出,S2J,J2N,,,768.17,779.87,,,,
