scope,entry_edge,exit_edge,window_begin,window_end,valid_count,vehicle_count,flow_count,vehicle_delta,flow_delta,status
od_time_window,S2J,J2E,660.00,720.00,2,2,2,0,0,OK
od_time_window,S2J,J2N,60.00,120.00,4,4,4,0,0,OK
od_time_window,S2J,J2N,120.00,180.00,5,5,5,0,0,OK
od_time_window,S2J,J2N,180.00,240.00,9,9,9,0,0,OK
od_time_window,S2J,J2N,240.00,300.00,4,4,4,0,0,OK
od_time_window,S2J,J2N,300.00,360.00,19,19,19,0,0,OK
od_time_window,S2J,J2N,360.00,420.00,2,2,2,0,0,OK
od_time_window,S2J,J2N,420.00,480.00,7,7,7,0,0,OK
od_time_window,S2J,J2N,480.00,540.00,1,1,1,0,0,OK
od_time_window,S2J,J2N,540.00,600.00,9,9,9,0,0,OK
od_time_window,S2J,J2N,600.00,660.00,4,4,4,0,0,OK
od_time_window,S2J,J2N,660.00,720.00,6,6,6,0,0,OK
od_time_window,S2J,J2N,720.00,780.00,1,1,1,0,0,OK
od_time_window,S2J,J2S,120.00,180.00,1,1,1,0,0,OK
od_time_window,S2J,J2S,600.00,660.00,1,1,1,0,0,OK
od_time_window,S2J,J2W,0.00,60.00,1,1,1,0,0,OK
od_time_window,S2J,J2W,240.00,300.00,2,2,2,0,0,OK
od_time_window,S2J,J2W,300.00,360.00,1,1,1,0,0,OK
od_time_window,S2J,J2W,600.00,660.00,1,1,1,0,0,OK
od_time_window,W2J,J2E,0.00,60.00,6,6,6,0,0,OK
od_time_window,W2J,J2E,60.00,120.00,1,1,1,0,0,OK
od_time_window,W2J,J2E,120.00,180.00,5,5,5,0,0,OK
od_time_window,W2J,J2E,180.00,240.00,1,1,1,0,0,OK
od_time_window,W2J,J2E,240.00,300.00,2,2,2,0,0,OK
od_time_window,W2J,J2E,360.00,420.00,1,1,1,0,0,OK
od_time_window,W2J,J2E,420.00,480.00,2,2,2,0,0,OK
od_time_window,W2J,J2E,480.00,540.00,2,2,2,0,0,OK
od_time_window,W2J,J2E,600.00,660.00,4,4,4,0,0,OK
od_time_window,W2J,J2E,660.00,720.00,1,1,1,0,0,OK
od_time_window,W2J,J2E,720.00,780.00,2,2,2,0,0,OK
od_time_window,W2J,J2N,180.00,240.00,3,3,3,0,0,OK
od_time_window,W2J,J2N,420.00,480.00,1,1,1,0,0,OK
od_time_window,W2J,J2N,540.00,600.00,1,1,1,0,0,OK
od_time_window,W2J,J2S,300.00,360.00,1,1,1,0,0,OK
od_time_window,W2J,J2S,420.00,480.00,1,1,1,0,0,OK
od_time_window,W2J,J2S,720.00,780.00,1,1,1,0,0,OK
