row_number,vehicle_id,semantic_id,category,errors,detail_reason,entry_edge,exit_edge,observed_event_time,entry_time,exit_time
168,lv_0258,258,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,207.68,,
171,lv_0265,265,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,211.34,,228.66
172,lv_0267,267,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,212.18,,
174,lv_0269,269,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,216.10,,
175,lv_0270,270,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2N,217.64,,236.73
180,lv_0282,282,missing_exit,missing_exit,missing_exit_edge,E2J,,230.36,227.35,
185,lv_0292,292,missing_exit,missing_exit,missing_exit_edge,N2J,,234.88,229.70,
187,lv_0296,296,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2W,237.56,,232.18
188,lv_0300,300,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,239.98,,
191,lv_0303,303,missing_exit,missing_exit,missing_exit_edge,W2J,,245.96,237.82,
193,lv_0305,305,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,250.36,,
194,lv_0306,306,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,250.56,,
197,lv_0309,309,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,253.10,,
202,lv_0317,317,missing_exit,missing_exit,missing_exit_edge,S2J,,265.24,268.30,
210,lv_0327,327,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,271.96,,
211,lv_0329,329,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,272.42,,
212,lv_0331,331,missing_exit,missing_exit,missing_exit_edge,W2J,,272.94,259.66,
223,lv_0345,345,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,288.52,,
225,lv_0347,347,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,290.62,,
227,lv_0351,351,missing_exit,missing_exit,missing_exit_edge,S2J,,298.20,293.16,
228,lv_0353,353,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,299.26,,
229,lv_0357,357,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,301.90,,
236,lv_0370,370,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,313.36,,
237,lv_0371,371,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,314.82,,341.80
241,lv_0379,379,missing_exit,missing_exit,missing_exit_edge,E2J,,320.58,320.91,
253,lv_0398,398,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,341.02,,346.50
256,lv_0401,401,missing_exit,missing_exit,missing_exit_edge,W2J,,342.06,388.03,
266,lv_0415,415,missing_exit,missing_exit,missing_exit_edge,S2J,,349.72,344.85,
268,lv_0418,418,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,351.52,,
270,lv_0421,421,missing_exit,missing_exit,missing_exit_edge,N2J,,354.56,359.19,
275,lv_0430,430,missing_exit,missing_exit,missing_exit_edge,W2J,,372.16,366.62,
282,lv_0442,442,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,391.52,,
288,lv_0453,453,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,402.12,,
289,lv_0454,454,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,402.34,,
293,lv_0463,463,missing_exit,missing_exit,missing_exit_edge,N2J,,408.34,407.68,
294,lv_0465,465,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,409.72,,
295,lv_0467,467,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,412.60,,
296,lv_0469,469,missing_exit,missing_exit,missing_exit_edge,S2J,,414.98,459.96,
299,lv_0475,475,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2E,417.36,,433.97
301,lv_0479,479,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,418.72,,
314,lv_0493,493,missing_exit,missing_exit,missing_exit_edge,W2J,,445.70,454.57,
315,lv_0495,495,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,446.74,,
321,lv_0502,502,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2N,451.56,,460.56
323,lv_0504,504,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,452.08,,
326,lv_0509,509,missing_exit,missing_exit,missing_exit_edge,N2J,,453.20,460.01,
327,lv_0512,512,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,454.58,,
334,lv_0521,521,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2E,463.50,,498.66
336,lv_0523,523,missing_exit,missing_exit,missing_exit_edge,N2J,,464.74,461.93,
342,lv_0537,537,missing_exit,missing_exit,missing_exit_edge,N2J,,471.00,474.18,
344,lv_0539,539,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2N,471.16,,478.46
348,lv_0558,558,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,475.56,,
350,lv_0562,562,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,476.42,,
351,lv_0563,563,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,476.70,,
352,lv_0565,565,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2N,476.92,,473.56
353,lv_0570,570,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,478.04,,
356,lv_0574,574,missing_exit,missing_exit,missing_exit_edge,N2J,,479.02,468.97,
362,lv_0583,583,missing_exit,missing_exit,missing_exit_edge,E2J,,492.18,479.67,
369,lv_0594,594,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2W,504.56,,499.76
372,lv_0598,598,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2W,506.42,,520.13
373,lv_0599,599,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2W,506.56,,503.75
374,lv_0600,600,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2W,507.22,,506.32
375,lv_0601,601,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,508.62,,
379,lv_0605,605,missing_exit,missing_exit,missing_exit_edge,N2J,,511.64,508.32,
381,lv_0607,607,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2W,512.34,,500.27
388,lv_0622,622,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2W,525.04,,520.30
394,lv_0629,629,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,536.14,,552.35
397,lv_0635,635,missing_exit,missing_exit,missing_exit_edge,W2J,,544.80,629.75,
398,lv_0637,637,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,550.10,,
399,lv_0638,638,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,550.20,,
402,lv_0644,644,missing_exit,missing_exit,missing_exit_edge,W2J,,554.16,559.93,
410,lv_0657,657,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,576.92,,590.62
418,lv_0667,667,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,589.46,,
421,lv_0670,670,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,593.20,,599.54
428,lv_0680,680,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,609.24,,
429,lv_0681,681,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,611.46,,
431,lv_0684,684,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2W,613.06,,618.43
433,lv_0686,686,missing_exit,missing_exit,missing_exit_edge,E2J,,614.82,604.69,
434,lv_0688,688,missing_exit,missing_exit,missing_exit_edge,N2J,,616.34,625.62,
438,lv_0696,696,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,624.66,,643.75
442,lv_0702,702,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,631.08,,
443,lv_0704,704,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,631.58,,
445,lv_0707,707,missing_exit,missing_exit,missing_exit_edge,N2J,,632.82,629.11,
447,lv_0711,711,missing_exit,missing_exit,missing_exit_edge,N2J,,634.72,622.28,
452,lv_0718,718,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,649.70,,656.95
454,lv_0720,720,missing_exit,missing_exit,missing_exit_edge,N2J,,650.48,653.77,
455,lv_0724,724,missing_exit,missing_exit,missing_exit_edge,S2J,,656.32,638.26,
456,lv_0725,725,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,657.92,,
461,lv_0730,730,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,666.94,,
466,lv_0738,738,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,673.76,,677.56
468,lv_0741,741,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,677.88,,
470,lv_0743,743,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,683.54,,
473,lv_0747,747,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,689.90,,
475,lv_0749,749,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,692.04,,
477,lv_0752,752,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,695.48,,
478,lv_0753,753,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,697.16,,
480,lv_0756,756,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,701.44,,
482,lv_0759,759,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,702.74,,713.84
486,lv_0763,763,multiple_errors,missing_entry;invalid_time,missing_entry_edge_and_entry_time,,J2S,705.92,,711.51
491,lv_0773,773,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,713.30,,
494,lv_0779,779,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,723.80,,
496,lv_0781,781,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,726.50,,
497,lv_0782,782,missing_exit,missing_exit,missing_exit_edge,W2J,,732.48,740.30,
499,lv_0785,785,missing_exit,missing_exit,missing_exit_edge,W2J,,736.02,741.10,
502,lv_0791,791,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,740.28,,
505,lv_0798,798,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,747.78,,
506,lv_0799,799,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,749.10,,
507,lv_0802,802,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,753.40,,
510,lv_0805,805,missing_exit,missing_exit,missing_exit_edge,S2J,,755.34,764.82,
513,lv_0814,814,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,762.44,,
514,lv_0819,819,missing_exit,missing_exit,missing_exit_edge,N2J,,764.32,757.52,
516,lv_0822,822,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,766.48,,
518,lv_0824,824,multiple_errors,missing_entry;missing_exit;invalid_time,missing_entry_edge_and_exit_edge_and_entry_time,,,770.58,,
520,lv_0829,829,missing_exit,missing_exit,missing_exit_edge,S2J,,778.86,788.70,
